Group_Number,Group_Description,Inventory_Code,Description,PLU_Number,SupplierStockCode,UnitsPerCase,SOH,Cases,Units,SUMOFCOST,SUMOFQTY,SUMOFSALES,SUMOFSALESEX,SUMOFTAX
12,SNACK FOODS,390688,CHEEZELS CHEESE 90G,15492,390688,12,25.000,2,1,9.200,5.000,17.760,16.145,1.615
12,SNACK FOODS,5459,DORITOS C/CHIP MEX 170G,5459,298289,12,26.000,2,1,10.860,3.000,15.000,13.637,1.364
12,SNACK FOODS,5368,DORITOS C/CHIP SUPRM 170G,5368,00298205,12,10.000,0,10,25.340,7.000,35.000,31.819,3.182
12,SNACK FOODS,382232,DORITOS DIP SALSA MED 300G,15435,382232,6,10.000,1,4,2.810,1.000,5.000,5.000,0.000
12,SNACK FOODS,6705,GO NAT BAR ALM CASHEW 45G,6705,27934,16,4.000,0,4,3.220,2.000,5.000,4.545,0.455
12,SNACK FOODS,860280,GO NAT BAR NUT DELIGHT 40G,14814,27930,16,2.000,0,2,14.490,9.000,22.500,20.454,2.046
12,SNACK FOODS,4738,GO NAT BKD MUESLI APR 90G,4738,27880,12,14.000,1,2,2.130,1.000,3.500,3.182,0.318
12,SNACK FOODS,461769,GO NAT SESAME CRISPS 40G,14816,27951,24,0.000,0,0,7.110,9.000,9.000,8.182,0.818
12,SNACK FOODS,20339,GRAINWAVE S/CRM CHIVE 170G,20339,00777107,15,15.000,1,0,12.640,4.000,20.000,18.182,1.818
12,SNACK FOODS,22643,NOBBYS BACON BITES 40G,22643,00778221,12,50.000,4,2,1.930,1.000,3.000,2.727,0.273
12,SNACK FOODS,369797,NOBBYS CASHEWS SLT 50G,14826,369797,24,1.000,0,1,5.620,2.000,9.000,8.182,0.818
12,SNACK FOODS,369802,NOBBYS PEANUTS SLT 50G,14837,369802,24,63.000,2,15,5.320,4.000,10.000,9.091,0.909
12,SNACK FOODS,1000,PIRANHA CHICCA ITALIAN 75G,1000,26710,1,13.000,13,0,4.060,2.000,6.650,6.045,0.605
12,SNACK FOODS,1056,PIRANHA VEGE CRKR FR/ON 100G,1056,26697,1,28.000,28,0,4.320,2.000,7.000,6.364,0.636
