Group_Number,Group_Description,Inventory_Code,Description,PLU_Number,SupplierStockCode,UnitsPerCase,SOH,Cases,Units,SUMOFCOST,SUMOFQTY,SUMOFSALES,SUMOFSALESEX,SUMOFTAX
4,WINES,YEL0010,YELLOWTAIL CHARDONNAY 187ML,4124,515717,24,37.000,1,13,3.110,1.000,5.100,4.636,0.464
5,TOBACCO,9022,BIC LIGHTER REGULAR,9022,437875,50,149.000,2,49,2.280,2.000,7.000,6.364,0.636
5,TOBACCO,9310704907231,BOND ST BLUE 20/200,6333,270032,10,36.000,3,6,155.200,5.000,206.500,187.727,18.773
5,TOBACCO,9310704907255,BOND ST GOLD 20/200,6336,270095,10,53.000,5,2,31.040,1.000,41.300,37.546,3.755
5,TOBACCO,9310704907217,BOND ST RED 20/200,6341,270040,10,13.000,1,3,341.440,11.000,454.300,413.001,41.300
5,TOBACCO,9327329012240,JPS CRUSHBALL BLUE 25/200,19791,941188,8,40.000,5,0,244.080,6.000,314.400,285.818,28.582
5,TOBACCO,9327329012264,JPS CRUSHBALL GOLD 25/200,19795,941214,8,22.000,2,6,447.480,11.000,576.400,524.000,52.400
5,TOBACCO,93229593,LB BLUE 40/160,9005,450043,4,7.000,1,3,62.830,1.000,79.900,72.636,7.264
5,TOBACCO,93229586,LB ORIG YELLOW 40/160,9004,450035,4,5.000,1,1,251.320,4.000,319.600,290.546,29.054
5,TOBACCO,9310704912525,PJ CLASSIC GOLD 30/180,18707,895405,6,17.000,2,5,47.820,1.000,63.900,58.091,5.809
5,TOBACCO,93211147,PJ ORIG BLUE 30/180,9008,450394,6,20.000,3,2,207.600,4.000,267.600,243.273,24.327
5,TOBACCO,9310797281683,PORT ROYAL RYO R&W 25/125G,9750,602629,5,27.000,5,2,115.320,2.000,149.800,136.182,13.618
5,TOBACCO,968,RANCH FLT SUPA SLIM 130S,968,329983,12,17.000,1,5,1.390,1.000,2.900,2.636,0.264
5,TOBACCO,9025,TALLY HO PAPERS 50PK,9025,081103,100,400.000,4,0,1.320,2.000,4.000,3.636,0.364
5,TOBACCO,9310797284905,WF ORIG BLUE 25/200,19744,197726,8,8.000,1,0,297.080,7.000,391.300,355.727,35.573
5,TOBACCO,9310797284929,WF ORIG GOLD 25/200,19746,214337,8,25.000,3,1,84.880,2.000,111.800,101.636,10.164
5,TOBACCO,9310797281720,WF RYO BLUE 25/125G,9763,363123,5,7.000,1,1,55.320,1.000,74.000,67.273,6.727
6,SOFTDRINKS,20561,*DEL* PEPSI 1.25L,20561,2689,12,14.000,1,2,1.540,1.000,5.300,4.818,0.482
6,SOFTDRINKS,090712,B/BERG GINGER BEER 375ML,15638,90712,24,23.000,0,23,8.200,5.000,14.000,12.727,1.273
6,SOFTDRINKS,428583,B/BERG GINGER BEER 750ML,15635,00428583,12,23.000,1,11,2.750,1.000,4.000,3.636,0.364
6,SOFTDRINKS,5999,B/BERG LEM/LIME BTTRS 375ML,5999,00390455,12,40.000,3,4,11.480,7.000,19.600,17.819,1.782
6,SOFTDRINKS,436,COKE 1.25L,436,950062,12,18.000,1,6,8.430,3.000,15.900,14.455,1.445
6,SOFTDRINKS,4010,COKE 375ML,4010,950971,24,212.000,8,20,59.840,44.000,123.200,112.001,11.199
6,SOFTDRINKS,4011,COKE 600ML,4011,955732,24,161.000,6,16,14.630,7.000,30.500,27.727,2.773
6,SOFTDRINKS,16565,COKE NO SUGAR 1.25L,16565,953321,12,11.000,0,11,2.810,1.000,5.300,4.818,0.482
6,SOFTDRINKS,16563,COKE NO SUGAR 375ML,16563,953346,24,308.000,12,20,27.200,20.000,56.000,50.910,5.090
6,SOFTDRINKS,16567,COKE NO SUGAR 600ML,16567,953320,24,121.000,5,1,52.250,25.000,101.500,92.273,9.228
6,SOFTDRINKS,20058,LEVEL LEMONADE ORIG 300ML,20058,00871341,6,36.000,6,0,2.640,1.000,4.600,4.182,0.418
6,SOFTDRINKS,20059,LEVEL LEMONADE PINE 300ML,20059,00871375,6,34.000,5,4,7.920,3.000,13.800,12.545,1.255
6,SOFTDRINKS,7097,LEVEL LEMONADE RASP 300ML,7097,318539,6,36.000,6,0,2.640,1.000,4.600,4.182,0.418
6,SOFTDRINKS,20571,MOUNTAIN DEW 440ML,20571,10004814,24,3.000,0,3,10.450,11.000,33.080,30.073,3.007
6,SOFTDRINKS,20568,PEPSI 440ML,20568,10005611,24,80.000,3,8,15.200,16.000,47.990,43.628,4.362
6,SOFTDRINKS,20574,PEPSI 600ML,20574,3221,24,67.000,2,18,1.510,1.000,4.500,4.091,0.409
6,SOFTDRINKS,18926,PEPSI MAX 440ML,18926,10002391,24,101.000,4,4,7.600,8.000,24.200,22.000,2.200
6,SOFTDRINKS,20572,PEPSI MAX 600ML,20572,3226,24,11.000,0,11,7.550,5.000,22.500,20.455,2.046
6,SOFTDRINKS,20575,SCH LEMONADE 600ML,20575,2919,24,51.000,2,3,4.530,3.000,13.500,12.273,1.227
6,SOFTDRINKS,20569,SCH TRAD RASP 440ML,20569,10005613,24,79.000,3,6,2.850,3.000,9.100,8.273,0.827
6,SOFTDRINKS,20578,SCH TRAD RASP 600ML,20578,2925,24,91.000,3,18,3.020,2.000,9.000,8.182,0.818
6,SOFTDRINKS,20560,SOLO 1.25L,20560,10003418,12,10.000,0,10,3.120,2.000,10.600,9.636,0.964
6,SOFTDRINKS,18927,SOLO 440ML,18927,10000277,24,79.000,3,6,4.750,5.000,15.200,13.818,1.382
6,SOFTDRINKS,20573,SOLO 600ML,20573,2918,24,27.000,1,3,4.530,3.000,13.500,12.273,1.227
6,SOFTDRINKS,4025,SPRITE 375ML,4025,950420,24,59.000,2,11,4.080,3.000,8.400,7.637,0.764
6,SOFTDRINKS,18928,SUNKIST 440ML,18928,10005612,24,44.000,1,20,4.750,5.000,14.790,13.446,1.344
